player,rounds_played,vlr_rating,acs,kd,kast,adr,kpr,apr,dpr,fkpr,fdpr,hs_percent,cl_percent,year
CHICHOOEDG,1002,1.07,202.9,1.12,0.74,134.2,0.71,0.29,0.63,0.06,0.06,0.23,0.2,2023
AAAAYFPX,484,1.07,202.6,1.01,0.74,139.8,0.73,0.28,0.72,0.01,0.08,0.35,0.14,2023
eeiu100T,224,1.07,191.8,1.16,0.77,126.0,0.75,0.28,0.64,0.05,0.04,0.38,0.11,2025
Wild0reooTS,290,1.06,199.7,1.08,0.74,132.4,0.73,0.31,0.68,0.08,0.07,0.34,0.18,2024
leafG2,1816,1.06,218.8,1.07,0.7,146.7,0.76,0.22,0.71,0.13,0.12,0.23,0.19,2024
marteenKC,1205,1.06,221.8,1.09,0.73,147.2,0.78,0.21,0.71,0.17,0.15,0.26,0.22,2024
pANcadaLOUD,299,1.06,192.1,1.06,0.71,128.9,0.69,0.34,0.65,0.07,0.08,0.37,0.19,2024
Wo0tTH,1869,1.06,217.0,1.08,0.75,140.7,0.75,0.32,0.69,0.13,0.11,0.35,0.16,2024
f0rsakeNPRX,1798,1.06,208.8,1.06,0.74,136.2,0.74,0.38,0.7,0.09,0.11,0.3,0.15,2024
yetujeyFUT,1325,1.06,200.1,1.08,0.71,132.1,0.71,0.23,0.65,0.1,0.1,0.26,0.15,2024
DerrekEG,632,1.06,195.6,1.03,0.71,131.4,0.71,0.28,0.69,0.06,0.04,0.35,0.15,2024
LessVIT,474,1.06,196.6,1.09,0.7,127.6,0.71,0.31,0.65,0.05,0.08,0.3,0.27,2025
trexxVIT,474,1.06,200.1,1.01,0.72,131.2,0.65,0.41,0.65,0.07,0.05,0.18,0.14,2025
MaKoDRX,511,1.06,196.0,1.02,0.77,130.0,0.67,0.45,0.66,0.08,0.09,0.25,0.2,2025
TwistenVIT,667,1.06,226.5,1.11,0.67,146.6,0.81,0.16,0.73,0.17,0.16,0.23,0.16,2023
cNedFUT,1311,1.06,225.5,1.1,0.72,147.8,0.79,0.2,0.72,0.15,0.15,0.26,0.1,2023
k1NgT1,891,1.06,208.5,1.07,0.72,140.0,0.74,0.23,0.69,0.09,0.09,0.26,0.16,2023
QutionerXEF,578,1.06,240.9,1.12,0.69,157.1,0.85,0.17,0.76,0.19,0.16,0.26,0.15,2023
Neal XBCS,211,1.06,216.9,1.06,0.74,139.1,0.79,0.17,0.74,0.14,0.14,0.23,0.22,2023
JitBoySTLN,944,1.06,202.2,1.04,0.73,134.0,0.72,0.3,0.7,0.08,0.08,0.37,0.16,2024
SugarZ3roZETA,884,1.06,193.9,1.03,0.75,125.1,0.7,0.46,0.68,0.05,0.07,0.25,0.1,2023
nzrMIBR,987,1.06,189.8,1.07,0.78,124.2,0.65,0.34,0.61,0.05,0.05,0.2,0.06,2023
happyweiXLG,282,1.06,234.2,1.09,0.72,150.0,0.81,0.18,0.74,0.16,0.12,0.29,0.19,2023
ChronicleFNC,215,1.06,195.8,1.1,0.7,131.1,0.69,0.35,0.63,0.07,0.08,0.24,0.06,2025
XiaoFeiNWG,282,1.06,209.0,1.03,0.7,138.1,0.73,0.31,0.71,0.07,0.09,0.38,0.32,2023
JingggPRX,1334,1.06,234.6,1.09,0.73,156.2,0.8,0.26,0.74,0.13,0.12,0.18,0.13,2023
JitBoySTLN,272,1.06,192.1,1.07,0.72,126.1,0.71,0.27,0.67,0.1,0.08,0.34,0.19,2025
MunchkinGEN,1085,1.05,209.6,1.08,0.69,141.2,0.73,0.21,0.67,0.1,0.12,0.22,0.15,2023
VictorNRG,1437,1.05,216.5,1.07,0.75,139.6,0.74,0.29,0.69,0.13,0.11,0.21,0.19,2023
yosemiteFPX,585,1.05,206.7,1.04,0.73,133.3,0.73,0.28,0.7,0.1,0.08,0.23,0.19,2023
NiveraKC,671,1.05,209.6,1.1,0.71,133.7,0.76,0.25,0.69,0.15,0.1,0.3,0.15,2023
MaKoDRX,1333,1.05,200.0,1.03,0.75,133.0,0.69,0.38,0.67,0.08,0.09,0.29,0.15,2024
ShyyKRÜ,1178,1.05,197.8,1.09,0.7,137.5,0.72,0.22,0.66,0.07,0.08,0.27,0.2,2024
LazZETA,795,1.05,199.0,1.06,0.68,133.9,0.72,0.21,0.68,0.11,0.08,0.3,0.09,2024
johnqtSEN,1720,1.05,183.0,1.08,0.75,120.7,0.65,0.27,0.6,0.07,0.06,0.26,0.18,2024
ardiisNAVI,760,1.05,212.0,1.04,0.72,139.4,0.77,0.33,0.73,0.13,0.12,0.22,0.21,2024
valynG2,1816,1.05,196.3,1.02,0.76,124.2,0.7,0.36,0.69,0.09,0.08,0.24,0.18,2024
AutumnFPX,1673,1.05,208.1,1.07,0.7,135.8,0.73,0.26,0.69,0.11,0.07,0.3,0.19,2024
BuZzT1,1333,1.05,237.8,1.11,0.71,150.5,0.82,0.16,0.74,0.18,0.17,0.22,0.22,2024
JingggPRX,205,1.05,209.7,1.09,0.72,139.0,0.73,0.24,0.67,0.11,0.13,0.23,0.11,2025
CyahCats,425,1.05,177.4,0.9,0.77,120.6,0.64,0.38,0.71,0.06,0.06,0.37,0.1,2023
benjyfishyTH,2367,1.05,198.1,1.12,0.71,132.6,0.74,0.19,0.66,0.09,0.09,0.35,0.17,2024
JingggPRX,1241,1.05,225.7,1.08,0.74,148.7,0.78,0.27,0.72,0.13,0.12,0.21,0.17,2024
hiroNAVI,732,1.05,190.6,1.1,0.72,123.5,0.69,0.31,0.63,0.07,0.09,0.29,0.23,2024
MunchkinGEN,2405,1.05,189.6,1.0,0.74,125.7,0.64,0.44,0.64,0.07,0.09,0.22,0.15,2024
f0rsakeNPRX,205,1.05,223.7,1.07,0.72,148.6,0.8,0.32,0.75,0.1,0.15,0.34,0.07,2025
PROFEKBBL,244,1.05,200.7,1.07,0.68,133.8,0.74,0.31,0.69,0.06,0.07,0.3,0.28,2025
tuyzLOUD,1081,1.04,180.5,1.04,0.72,120.9,0.66,0.34,0.64,0.06,0.07,0.3,0.14,2024
