player+team,rounds_played,vlr_rating,acs,kd,kast,adr,kpr,apr,dpr,fkpr,fdpr,hs_percent,cl_percent,year
julsavageKRZ,539,1.24,241.5,1.24,0.74,160.3,0.86,0.35,0.69,0.08,0.09,0.2,0.08,2023
sleepyCTRL,530,1.24,228.8,1.3,0.78,151.2,0.86,0.38,0.66,0.05,0.03,0.35,0.18,2023
selinFMG.GC,347,1.24,224.9,1.42,0.74,151.8,0.83,0.17,0.59,0.08,0.07,0.2,0.16,2023
ComeBackBCF,887,1.24,265.1,1.42,0.77,161.0,0.94,0.17,0.66,0.2,0.12,0.25,0.13,2025
RazFH,522,1.24,264.5,1.32,0.75,173.2,0.91,0.22,0.69,0.25,0.12,0.23,0.24,2025
xeniaHOWL.M,539,1.24,245.6,1.3,0.78,159.2,0.88,0.34,0.68,0.11,0.08,0.35,0.14,2023
yuchan,854,1.24,246.9,1.26,0.76,164.6,0.85,0.31,0.67,0.14,0.11,0.26,0.14,2023
ChiaWei,615,1.24,216.1,1.35,0.77,143.8,0.8,0.3,0.59,0.07,0.05,0.4,0.2,2024
iced americanoBMY,257,1.24,261.8,1.37,0.72,166.6,0.93,0.17,0.68,0.16,0.12,0.22,0.23,2024
LimeMOUZ,1193,1.24,246.3,1.37,0.73,158.9,0.88,0.21,0.65,0.16,0.13,0.32,0.2,2024
PapiGEXP,1228,1.24,204.8,1.35,0.8,132.7,0.77,0.37,0.57,0.06,0.05,0.28,0.2,2024
MazuongBOBO,577,1.24,284.9,1.32,0.76,189.4,0.95,0.21,0.72,0.22,0.12,0.34,0.08,2024
patrickWHOGE,823,1.24,282.8,1.33,0.75,183.9,1.01,0.18,0.76,0.21,0.15,0.28,0.14,2024
PsychCCG,206,1.24,290.7,1.27,0.7,180.5,0.93,0.23,0.73,0.26,0.17,0.31,0.13,2024
Hitman,281,1.24,233.8,1.29,0.75,146.1,0.86,0.34,0.67,0.07,0.05,0.25,0.15,2024
yumiPapa,262,1.24,284.9,1.27,0.75,186.6,0.98,0.18,0.77,0.2,0.09,0.31,0.05,2025
Ikie,399,1.24,274.5,1.26,0.74,175.5,0.94,0.22,0.74,0.19,0.13,0.26,0.2,2023
fr1RAFH,262,1.23,248.7,1.3,0.72,158.2,0.9,0.28,0.7,0.11,0.15,0.36,0.19,2023
MohTU,1540,1.23,233.1,1.34,0.77,150.9,0.83,0.34,0.62,0.11,0.08,0.27,0.19,2023
slathom999GEEK,468,1.23,239.2,1.25,0.75,157.5,0.87,0.26,0.7,0.06,0.07,0.32,0.22,2024
renzMU,234,1.23,216.4,1.29,0.79,143.8,0.75,0.35,0.58,0.06,0.03,0.27,0.18,2023
FireBallOpsBLUE,473,1.23,245.1,1.34,0.75,158.7,0.88,0.18,0.66,0.14,0.08,0.33,0.15,2023
coldfishTYL,296,1.23,244.2,1.28,0.76,157.0,0.86,0.27,0.67,0.09,0.06,0.17,0.12,2023
SerialTL,727,1.23,224.0,1.35,0.78,157.0,0.83,0.2,0.62,0.1,0.07,0.44,0.17,2025
bstrddTL,308,1.23,273.1,1.41,0.77,177.5,0.93,0.23,0.66,0.24,0.13,0.24,0.2,2025
aluvilyFLY,622,1.23,249.7,1.36,0.74,165.0,0.91,0.2,0.67,0.11,0.08,0.38,0.16,2025
Grimmjow,352,1.23,216.3,1.31,0.8,139.7,0.82,0.43,0.62,0.07,0.09,0.24,0.31,2025
wavedLEV.GC,298,1.23,275.0,1.37,0.72,182.7,0.98,0.21,0.72,0.25,0.17,0.29,0.13,2025
evaGX.GC,1686,1.23,214.3,1.41,0.81,139.4,0.81,0.33,0.57,0.07,0.04,0.29,0.24,2023
eneriiFLCV,983,1.23,267.9,1.37,0.77,168.1,0.93,0.27,0.68,0.22,0.15,0.24,0.12,2024
unstableFLY,1174,1.23,248.3,1.4,0.77,154.8,0.9,0.26,0.64,0.16,0.11,0.31,0.19,2024
TastyyAKV.GC,950,1.23,244.2,1.34,0.74,155.6,0.88,0.33,0.66,0.13,0.12,0.29,0.23,2023
KonASND,1323,1.23,247.2,1.26,0.76,165.5,0.87,0.3,0.69,0.12,0.09,0.32,0.13,2023
Jul¡aOne,208,1.23,245.8,1.28,0.75,166.3,0.89,0.19,0.7,0.11,0.06,0.3,0.31,2024
babytzBOBA,876,1.23,241.9,1.32,0.73,160.2,0.85,0.31,0.64,0.12,0.11,0.22,0.24,2024
dodsKRÜ.B,1255,1.23,271.7,1.36,0.75,173.9,0.96,0.23,0.71,0.22,0.16,0.33,0.26,2024
NaturhallelBIGG.S,423,1.23,228.0,1.24,0.8,149.6,0.82,0.4,0.66,0.09,0.06,0.34,0.08,2024
KyuM80,1023,1.23,244.3,1.31,0.78,157.1,0.85,0.37,0.65,0.11,0.09,0.28,0.21,2024
BizerraTL,1751,1.23,224.8,1.29,0.79,146.5,0.77,0.41,0.6,0.1,0.06,0.23,0.24,2023
antGLEV.GC,1412,1.23,221.7,1.31,0.79,142.7,0.8,0.4,0.61,0.07,0.06,0.31,0.14,2024
vo0kashuDRG,552,1.23,226.2,1.23,0.75,152.6,0.83,0.23,0.67,0.08,0.08,0.33,0.0,2025
YESicaNFCY,719,1.23,224.3,1.24,0.78,151.6,0.78,0.41,0.63,0.08,0.05,0.33,0.18,2024
VuubitFMG,438,1.23,229.6,1.31,0.75,153.0,0.84,0.33,0.64,0.1,0.08,0.43,0.2,2024
ScottieUCF.B,474,1.23,225.2,1.36,0.79,143.8,0.82,0.41,0.6,0.1,0.08,0.27,0.23,2024
RawkusDZ,491,1.23,224.8,1.34,0.8,144.4,0.79,0.42,0.59,0.08,0.08,0.26,0.17,2023
